logs	Severity
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 07:37:16 2023] 192.168.1.15 test test	0
[Sun Sep  3 07:37:18 2023] 192.168.1.15 test tsd	0
[Sun Sep  3 07:37:19 2023] 192.168.1.15 test tkljd	0
[Sun Sep  3 07:37:19 2023] HASSH: 192.168.1.15 70fb86783479c70b3ca1726b5244b1eb sport: 56176 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:12 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51774 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 123456	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 princess	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 rockyou	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 daniel	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 654321	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 111111	0
[Sun Sep  3 08:02:12 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51790 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 password	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 nicole	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 lovely	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 qwerty	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 	0
[Sun Sep  3 08:02:12 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51818 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 123456789	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 iloveyou	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 1234567	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 abc123	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 monkey	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 jessica	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 ashley	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 000000	0
[Sun Sep  3 08:02:12 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51788 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 12345	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 12345678	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 babygirl	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 michael	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456 iloveu	0
[Sun Sep  3 08:02:12 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51792 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 password	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 rockyou	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 nicole	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 lovely	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 ashley	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 000000	0
[Sun Sep  3 08:02:12 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51832 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 123456789	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 1234567	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 abc123	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 monkey	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 michael	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 iloveu	0
[Sun Sep  3 08:02:12 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51834 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 12345	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 iloveyou	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 princess	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 12345678	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 babygirl	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 654321	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 111111	0
[Sun Sep  3 08:02:12 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51864 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 123456	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 daniel	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 jessica	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 qwerty	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 12345 	0
[Sun Sep  3 08:02:12 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51856 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 password	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 princess	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 12345678	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 babygirl	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 654321	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 123456789 111111	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51906 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 123456	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 1234567	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 abc123	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 monkey	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 michael	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 123456789 iloveu	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51878 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 12345	0
